City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bang Saphan,TH,76.06,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
3,San Cristobal,VE,71.58,scattered clouds,7.7669,-72.225,Pirineos
5,Rikitea,PF,79.99,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Kavieng,PG,85.33,broken clouds,-2.5744,150.7967,Nusa Island Retreat
11,Touros,BR,79.38,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
12,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
13,Hobart,AU,70.05,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
15,Tual,ID,82.06,moderate rain,-5.6667,132.75,Grand Vilia Hotel
18,Sao Joao Da Barra,BR,76.64,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
19,Atuona,PF,79.21,broken clouds,-9.8,-139.0333,Villa Enata
20,Cabo San Lucas,MX,80.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
21,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
22,Buchanan,LR,79.7,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
23,Ewa Beach,US,82.35,scattered clouds,21.3156,-158.0072,Base Lodging
24,Bankura,IN,73.17,broken clouds,23.25,87.0667,Hotel Priyadarsini
26,Prescott,US,77.27,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
42,Niono,ML,89.74,broken clouds,14.2526,-5.993,Hôtel Campement
45,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
46,Karachi,PK,73.22,smoke,24.9056,67.0822,Sadaat
54,Lazaro Cardenas,MX,79.68,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
56,Nanga Eboko,CM,74.05,light rain,4.6833,12.3667,Motel Papi Palace
58,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
64,Vanimo,PG,84.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
67,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Dingle,PH,82.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
71,Anloga,GH,82.76,broken clouds,5.7947,0.8973,Pin Drop Hotel
78,Dhone,IN,77.76,few clouds,15.4167,77.8833,Pennera Rakesh
80,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
82,Dubai,AE,80.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
83,Port-Gentil,GA,80.38,light rain,-0.7193,8.7815,Fengshui Residence
85,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
88,Takoradi,GH,80.74,scattered clouds,4.8845,-1.7554,Raybow International Hotel
92,Nelson Bay,AU,75.09,light rain,-32.7167,152.15,Mantra Nelson Bay
95,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Twentynine Palms,US,87.13,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
107,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
108,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
111,Keningau,MY,73.87,overcast clouds,5.3378,116.1602,Sabindo Hotel
112,Harper,LR,79.65,few clouds,4.375,-7.7169,Screensaver
115,Socorro,US,76.1,clear sky,31.6546,-106.3033,guarderia imss papalote
118,Mahibadhoo,MV,82.42,few clouds,3.7833,72.9667,Omadhoo Inn
119,Hithadhoo,MV,83.61,scattered clouds,-0.6,73.0833,Scoop Guest House
123,Beira,MZ,73.45,clear sky,-19.8436,34.8389,Beira Terrace Hotel
124,Butaritari,KI,80.58,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
126,Rusera,IN,72.14,clear sky,25.75,86.0333,Santosh Hotel&Santosh resturent
127,Hillsborough,US,75.33,mist,37.5741,-122.3794,Hyatt Regency San Francisco Airport
128,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
130,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Port Macquarie,AU,72.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
141,Culebra,PR,78.84,clear sky,18.303,-65.301,Palmetto Guesthouse
143,Puerto El Triunfo,SV,83.79,scattered clouds,13.2833,-88.55,Hotel Jardin
144,Atambua,ID,77.25,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
148,Carnarvon,AU,82.18,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
149,Labuhan,ID,79.54,light rain,-6.8844,112.2051,DoubleFAG
151,Hambantota,LK,77.47,broken clouds,6.1241,81.1185,Bungalow 63
152,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
154,Honiara,SB,85.6,broken clouds,-9.4333,159.95,Heritage Park Hotel
159,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
160,Fallon,US,78.46,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
166,Kavaratti,IN,81.91,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
168,Puerto Ayora,EC,79.77,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
169,Cidreira,BR,71.92,overcast clouds,-30.1811,-50.2056,Hotel Castelo
171,Dicabisagan,PH,81.07,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
178,Xai-Xai,MZ,76.3,broken clouds,-25.0519,33.6442,Complexo da Familia
182,Pacific Grove,US,71.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
192,Pedasi,PA,79.07,few clouds,7.5333,-80.0333,Selina Pedasi
193,Olinda,BR,79.81,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
195,La Asuncion,VE,76.55,clear sky,11.0333,-63.8628,Colinas de Matasiete
196,Tanete,ID,80.6,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
197,Ler,SS,85.06,clear sky,8.3018,30.1418,Leer Humanitarian Hub
198,Itupiranga,BR,74.7,broken clouds,-5.1347,-49.3267,Hotel Panorama
199,Camopi,GF,72.37,overcast clouds,3.1655,-52.3158,La pousada
203,Kupang,ID,80.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
205,Arraial Do Cabo,BR,76.69,clear sky,-22.9661,-42.0278,Pousada Porto Praia
207,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
208,Sulangan,PH,81.28,broken clouds,11.1373,123.7228,Maia's Beach Resort
213,Bandarbeyla,SO,76.19,few clouds,9.4942,50.8122,JABIR HOTEL
214,Mapiripan,CO,80.24,broken clouds,2.8892,-72.1256,Monserrate
215,Isangel,VU,82.35,scattered clouds,-19.55,169.2667,Tanna Lodge
218,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
219,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
221,Marawi,PH,72.86,overcast clouds,7.9986,124.2928,Derogongan Residence
222,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
228,Kalmunai,LK,77.4,clear sky,7.4167,81.8167,VS Villa
229,Pitimbu,BR,79.66,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
230,Bowen,AU,78.49,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
231,Karratha,AU,86.09,broken clouds,-20.7377,116.8463,ibis Styles Karratha
