City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,30.09,68,99,10.47,overcast clouds
1,Bang Saphan,TH,11.2126,99.5117,76.06,91,80,3.04,broken clouds
2,Plyussa,RU,58.4308,29.3654,34.3,99,100,2.15,overcast clouds
3,San Cristobal,VE,7.7669,-72.225,71.58,60,33,0.6,scattered clouds
4,Karup,DK,56.3067,9.1684,41.58,81,13,8.05,few clouds
5,Rikitea,PF,-23.1203,-134.9692,79.99,71,100,13.73,overcast clouds
6,Beian,NO,63.6559,9.5683,46.49,93,75,27.63,light intensity drizzle rain
7,Thompson,CA,55.7435,-97.8558,32.16,100,100,11.5,overcast clouds
8,Torbay,CA,47.6666,-52.7314,29.57,77,70,7.0,broken clouds
9,Kavieng,PG,-2.5744,150.7967,85.33,63,61,7.61,broken clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,71,20,9.22,few clouds
11,Touros,BR,-5.1989,-35.4608,79.38,83,64,9.17,broken clouds
12,Puerto Escondido,MX,15.85,-97.0667,83.23,74,75,6.91,broken clouds
13,Hobart,AU,-42.8794,147.3294,70.05,60,20,11.5,few clouds
14,Abu Kamal,SY,34.4506,40.9171,50.32,59,16,9.48,few clouds
15,Tual,ID,-5.6667,132.75,82.06,75,100,12.3,moderate rain
16,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,21.85,clear sky
17,Bluff,NZ,-46.6,168.3333,59.47,59,45,8.19,scattered clouds
18,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.64,81,25,13.04,scattered clouds
19,Atuona,PF,-9.8,-139.0333,79.21,80,73,16.37,broken clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,80.62,50,54,5.01,broken clouds
21,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,24.16,scattered clouds
22,Buchanan,LR,5.8808,-10.0467,79.7,88,78,5.01,light rain
23,Ewa Beach,US,21.3156,-158.0072,82.35,51,40,17.27,scattered clouds
24,Bankura,IN,23.25,87.0667,73.17,73,59,7.74,broken clouds
25,Tasiilaq,GL,65.6145,-37.6368,19.56,59,98,6.6,overcast clouds
26,Prescott,US,34.54,-112.4685,77.27,15,1,4.0,clear sky
27,Tochio,JP,37.4667,139.0,51.55,68,30,1.01,scattered clouds
28,Kaitangata,NZ,-46.2817,169.8464,62.92,48,0,1.3,clear sky
29,Ponta Do Sol,PT,32.6667,-17.1,63.01,74,49,4.54,scattered clouds
30,Bredasdorp,ZA,-34.5322,20.0403,64.02,67,100,12.55,overcast clouds
31,Opuwo,NA,-18.0607,13.84,66.78,75,42,4.72,scattered clouds
32,Esperance,AU,-33.8667,121.9,63.25,65,0,14.14,clear sky
33,Ahipara,NZ,-35.1667,173.1667,67.19,82,100,17.65,overcast clouds
