City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iquitos,PE,2022-03-24 22:22:57,-3.7481,-73.2472,86.04,79,75,4.61
1,Busselton,AU,2022-03-24 22:16:18,-33.65,115.3333,61.07,63,0,12.21
2,Tongliao,CN,2022-03-24 22:22:58,43.6125,122.2653,38.97,28,23,13.11
3,Albany,US,2022-03-24 22:15:40,42.6001,-73.9662,43.66,82,100,3.36
4,Jamestown,US,2022-03-24 22:16:14,42.097,-79.2353,54.52,45,20,11.5
5,Bluff,NZ,2022-03-24 22:17:33,-46.6,168.3333,55.31,65,33,10.07
6,Khatanga,RU,2022-03-24 22:17:43,71.9667,102.5,-8.59,99,100,3.6
7,Hasaki,JP,2022-03-24 22:18:54,35.7333,140.8333,43.2,48,15,4.25
8,Hobart,AU,2022-03-24 22:18:58,-42.8794,147.3294,61.05,79,20,11.5
9,Tasiilaq,GL,2022-03-24 22:17:42,65.6145,-37.6368,21.36,61,97,7.18
10,Ushuaia,AR,2022-03-24 22:12:12,-54.8,-68.3,49.62,61,40,11.5
11,Klaksvik,FO,2022-03-24 22:17:45,62.2266,-6.589,45.52,88,81,11.39
12,Hithadhoo,MV,2022-03-24 22:17:44,-0.6,73.0833,83.61,67,24,19.86
13,Mataura,NZ,2022-03-24 22:16:13,-46.1927,168.8643,57.69,55,5,2.66
14,Pevek,RU,2022-03-24 22:23:00,69.7008,170.3133,5.38,97,99,4.68
15,Lumphat,KH,2022-03-24 22:23:00,13.4878,106.9816,79.11,79,91,1.23
16,Victoria,HK,2022-03-24 22:19:59,22.2855,114.1577,69.96,94,100,15.99
17,Punta Arenas,CL,2022-03-24 22:15:14,-53.15,-70.9167,53.71,50,75,23.02
18,Port Elizabeth,ZA,2022-03-24 22:20:15,-33.918,25.5701,67.1,89,75,13.8
19,Bengkulu,ID,2022-03-24 22:16:22,-3.8004,102.2655,75.04,83,98,4.38
20,Sioux Lookout,CA,2022-03-24 22:23:01,50.1001,-91.917,41.07,52,20,4.61
21,Pierre,US,2022-03-24 22:23:02,44.3683,-100.351,67.28,22,0,14.97
22,Bam,IR,2022-03-24 22:23:02,29.106,58.357,72.1,17,0,7.74
23,Moron,AR,2022-03-24 22:23:03,-34.6534,-58.6198,53.91,94,100,14.52
24,Takoradi,GH,2022-03-24 22:23:03,4.8845,-1.7554,81.23,83,41,6.38
25,Atuona,PF,2022-03-24 22:16:19,-9.8,-139.0333,79.41,76,82,18.05
26,Kagoro,NG,2022-03-24 22:23:04,9.6,8.3833,79.63,16,100,5.39
27,Gornyy,RU,2022-03-24 22:23:04,55.1153,83.9059,8.49,99,80,7.36
28,New Norfolk,AU,2022-03-24 22:16:23,-42.7826,147.0587,60.71,64,83,3.0
29,Ciudad Del Maiz,MX,2022-03-24 22:23:05,22.4,-99.6,70.23,24,0,5.64
30,Lavrentiya,RU,2022-03-24 22:23:05,65.5833,-171.0,4.64,89,15,5.21
31,Upernavik,GL,2022-03-24 22:23:05,72.7868,-56.1549,5.83,74,100,7.63
32,Vaini,TO,2022-03-24 22:20:20,-21.2,-175.2,80.76,89,75,10.36
33,Lata,PT,2022-03-24 22:23:06,40.1629,-8.3327,59.81,86,100,2.33
34,Mangaluru,IN,2022-03-24 22:23:06,12.8667,74.8833,77.86,83,20,0.0
35,Chuy,UY,2022-03-24 22:20:12,-33.6971,-53.4616,68.7,63,55,11.59
36,Hermanus,ZA,2022-03-24 22:16:08,-34.4187,19.2345,59.81,84,100,15.59
37,Rikitea,PF,2022-03-24 22:17:31,-23.1203,-134.9692,79.81,71,100,15.35
38,Hurup,DK,2022-03-24 22:23:07,56.7494,8.4195,41.61,3,9,9.06
